#{"t_start": 1763845434.2315786, "env_id": "None"}
r,l,t
3.735,64,136.252371
-5.39,20,136.316034
4.885,6,136.336111
-5.405,21,136.403756
3.68,66,139.01194
-5.49,25,139.093271
4.405,30,139.201983
-5.32,16,139.258684
-6.355,68,139.486151
4.425,29,139.58185
-6.32,66,139.799877
-5.17,9,139.829166
4.89,6,139.848932
3.72,64,140.081949
-5.57,29,140.188348
-5.265,14,140.241179
4.385,31,140.355096
4.855,8,140.382733
3.63,69,140.65281
-5.405,21,140.726347
-5.445,23,140.801543
-5.515,26,140.887833
-5.675,34,140.999424
4.48,26,141.089917
-5.67,34,141.203624
-5.37,19,141.264163
-5.17,9,141.295575
4.27,37,141.415277
4.365,32,141.520426
4.41,30,141.615253
4.345,33,141.722581
3.66,67,141.935834
4.895,6,141.955497
-5.16,8,141.981951
-5.91,46,142.132583
-6.335,67,142.355268
-5.305,16,142.406188
4.56,22,142.476026
3.795,61,142.670514
-5.345,18,142.727723
-6.195,60,142.933462
4.85,8,142.96079
4.565,22,143.033512
3.995,51,143.210915
-5.5,25,143.291907
3.775,62,143.502889
-5.145,8,143.52981
3.98,51,143.693096
-6.35,68,143.91438
4.575,22,143.984113
4.265,37,144.101887
-5.15,8,144.128719
-5.14,7,144.154624
4.35,33,144.27131
4.36,32,144.379139
-6.285,65,144.594259
-5.39,20,144.657798
-5.28,14,144.704222
4.33,34,144.820453
4.63,19,144.886383
-6.185,60,145.083822
4.32,34,145.199553
4.59,21,145.270257
3.42,79,145.532253
4.21,40,145.66692
4.44,28,148.18344
-5.525,27,148.270773
-5.62,31,148.369495
-5.255,13,148.411831
-6.425,72,148.649873
-5.275,14,148.696121
-5.485,25,148.780316
-6.25,63,148.988395
-5.415,21,149.056803
4.375,32,149.165962
-5.315,16,149.220637
-5.39,20,149.288814
-5.185,10,149.323138
-5.31,16,149.378436
-6.295,65,149.597579
-5.155,8,149.625999
4.6,20,149.688929
-5.195,10,149.721284
-5.54,27,149.823542
-5.45,23,149.906528
-5.79,40,150.038437
-5.405,21,150.111765
-5.21,11,150.149803
4.895,6,150.169168
4.145,43,149.705519
-5.325,17,149.763466
-5.275,14,149.807045
3.775,62,150.002088
4.355,33,150.108165
-5.53,27,150.19898
-5.485,25,150.28017
-5.425,22,150.359624
-5.675,34,150.472623
3.725,64,150.683865
-5.375,19,150.744768
4.605,20,150.811209
-5.635,32,150.914012
4.245,38,151.036929
4.555,23,151.113008
-6.47,74,151.350287
4.605,20,151.420505
4.195,41,151.566411
4.505,25,151.651343
4.825,9,151.679345
-5.59,30,151.780167
4.605,20,151.845896
-5.68,34,151.956712
-5.315,16,152.006745
-5.625,32,152.109909
3.835,59,152.298984
-5.485,25,152.378267
4.3,35,152.498404
-5.27,14,152.541635
-5.375,19,152.603169
3.935,54,152.773743
-5.5,25,152.853111
-5.575,29,152.947933
4.44,28,153.039437
-5.355,18,153.095907
-5.57,29,153.19
3.575,72,153.433709
-6.375,69,153.66084
-5.125,7,153.682639
-5.535,27,153.782648
-5.415,21,153.850718
-5.2,10,153.884984
4.3,35,153.999816
-5.465,24,154.079039
-6.385,70,154.311023
-5.24,12,156.85361
4.03,49,157.013613
-5.56,28,157.108871
3.475,77,157.354186
-6.335,67,157.577347
4.32,34,157.692908
4.145,43,157.838336
-5.145,8,157.864063
4.825,9,157.893553
4.2,40,158.020422
4.535,24,158.099607
4.365,32,158.205217
-5.585,30,158.307699
-5.395,20,158.382299
-5.395,20,158.447742
-5.585,30,158.543178
3.47,77,158.796383
3.77,62,159.000568
3.825,59,159.195417
-5.37,19,159.257648
-5.345,18,159.315325
-6.48,74,159.560431
-5.17,9,159.591122
3.66,67,159.811418
4.535,24,159.891084
4.53,24,159.968654
-5.765,39,160.097283
-6.365,69,160.318968
-5.92,46,160.472202
-5.575,29,160.580846
-5.215,11,160.622244
-5.68,34,160.741464
-5.145,8,160.768877
-6.475,74,161.016532
-5.405,21,161.087802
4.605,20,161.157584
-6.195,60,161.36111
4.58,21,161.430297
-5.505,26,161.519316
4.605,20,161.58471
-6.135,57,161.773677
-5.265,14,161.818689
-5.44,22,161.889863
-0.59,30,161.98939
3.755,63,162.191926
4.84,8,162.220327
